flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG0020,TRIP008,DRV050,2024-02-06 06:08:24,504.0,audio_spike,low,0.0,0.65,0.2925,Audio: very_loud (score 0.65),High noise
FLAG0021,TRIP008,DRV050,2024-02-06 06:13:03,783.0,audio_spike,low,0.2,0.65,0.4025,Motion: soft brake (score 0.20); Audio: very_loud (score 0.65),Soft brake + High noise
FLAG0022,TRIP009,DRV070,2024-02-06 06:09:26,566.0,audio_spike,low,0.0,0.65,0.2925,Audio: very_loud (score 0.65),High noise
FLAG0023,TRIP009,DRV070,2024-02-06 06:11:58,718.0,audio_spike,low,0.05,0.65,0.32,Audio: very_loud (score 0.65),High noise
FLAG0024,TRIP009,DRV070,2024-02-06 06:15:00,900.0,audio_spike,low,0.0,0.65,0.2925,Audio: very_loud (score 0.65),High noise
FLAG0025,TRIP009,DRV070,2024-02-06 06:16:11,971.0,audio_spike,low,0.2,0.65,0.4025,Motion: soft brake (score 0.20); Audio: very_loud (score 0.65),Soft brake + High noise
FLAG0026,TRIP009,DRV070,2024-02-06 06:21:53,1313.0,audio_spike,low,0.0,0.65,0.2925,Audio: very_loud (score 0.65),High noise
FLAG0027,TRIP009,DRV070,2024-02-06 06:24:36,1476.0,audio_spike,low,0.05,0.65,0.32,Audio: very_loud (score 0.65),High noise
FLAG0028,TRIP009,DRV070,2024-02-06 06:25:29,1529.0,audio_spike,low,0.0,0.65,0.2925,Audio: very_loud (score 0.65),High noise
FLAG0029,TRIP009,DRV070,2024-02-06 06:25:33,1533.0,audio_spike,low,0.0,0.65,0.2925,Audio: very_loud (score 0.65),High noise
FLAG0030,TRIP010,DRV145,2024-02-06 06:00:59,59.0,moderate_brake,low,0.5,0.0,0.275,Motion: moderate corner (score 0.50),Moderate turn
FLAG0031,TRIP010,DRV145,2024-02-06 06:05:16,316.0,conflict_moment,low,0.0,0.92,0.414,Audio: argument (score 0.92),Verbal conflict
FLAG0032,TRIP010,DRV145,2024-02-06 06:07:40,460.0,moderate_brake,low,0.48,0.0,0.264,Motion: moderate brake (score 0.48),Moderate brake
FLAG0033,TRIP010,DRV145,2024-02-06 06:10:19,619.0,moderate_brake,low,0.48,0.0,0.264,Motion: moderate brake (score 0.48),Moderate brake
FLAG0034,TRIP010,DRV145,2024-02-06 06:15:59,959.0,moderate_brake,medium,0.5,0.92,0.689,Motion: moderate corner (score 0.50); Audio: argument (score 0.92),Moderate turn + Verbal conflict
FLAG0035,TRIP010,DRV145,2024-02-06 19:22:00,1020.0,harsh_braking,medium,0.82,0.35,0.6085,Motion: harsh brake (score 0.82); Audio: elevated (score 0.35),Hard brake + Elevated noise
FLAG0036,TRIP010,DRV145,2024-02-06 19:22:30,1050.0,harsh_braking,high,1.0,0.65,1.0,Motion: emergency stop (score 1.00); Audio: very_loud (score 0.65); dual-signal amplified,Emergency stop + High noise
FLAG0037,TRIP010,DRV145,2024-02-06 19:23:00,1080.0,conflict_moment,low,0.05,0.92,0.4415,Audio: argument (score 0.92),Verbal conflict
FLAG0038,TRIP010,DRV145,2024-02-06 19:23:30,1110.0,conflict_moment,low,0.05,0.92,0.4415,Audio: argument (score 0.92),Verbal conflict
FLAG0039,TRIP010,DRV145,2024-02-06 06:18:46,1126.0,conflict_moment,low,0.0,0.92,0.414,Audio: argument (score 0.92),Verbal conflict
FLAG0040,TRIP010,DRV145,2024-02-06 19:24:00,1140.0,conflict_moment,low,0.05,0.92,0.4415,Audio: argument (score 0.92),Verbal conflict
FLAG0041,TRIP025,DRV188,2024-02-06 06:06:47,407.0,conflict_moment,low,0.0,0.92,0.414,Audio: argument (score 0.92),Verbal conflict
FLAG0042,TRIP025,DRV188,2024-02-06 06:08:09,489.0,conflict_moment,medium,0.2,0.92,0.524,Motion: soft brake (score 0.20); Audio: argument (score 0.92),Soft brake + Verbal conflict
FLAG0043,TRIP025,DRV188,2024-02-06 06:09:07,547.0,conflict_moment,low,0.0,0.92,0.414,Audio: argument (score 0.92),Verbal conflict
FLAG0044,TRIP025,DRV188,2024-02-06 06:09:40,580.0,conflict_moment,low,0.0,0.92,0.414,Audio: argument (score 0.92),Verbal conflict
