audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD040,TRIP001,2024-02-06 06:57:30,1170,69.0,conversation,0
AUD041,TRIP001,2024-02-06 06:58:00,1200,62.3,normal,0
AUD042,TRIP001,2024-02-06 06:58:30,1230,65.3,conversation,0
AUD043,TRIP001,2024-02-06 06:59:00,1260,70.5,conversation,0
AUD044,TRIP002,2024-02-06 07:02:00,0,53.7,quiet,0
AUD045,TRIP002,2024-02-06 07:02:30,30,51.6,quiet,0
AUD046,TRIP002,2024-02-06 07:03:00,60,70.9,conversation,0
AUD047,TRIP002,2024-02-06 07:03:30,90,64.4,normal,0
AUD048,TRIP002,2024-02-06 07:04:00,120,60.9,normal,0
AUD049,TRIP002,2024-02-06 07:04:30,150,65.7,conversation,0
AUD050,TRIP002,2024-02-06 07:05:00,180,74.6,loud,0
AUD051,TRIP002,2024-02-06 07:05:30,210,66.6,conversation,0
AUD052,TRIP002,2024-02-06 07:06:00,240,65.0,conversation,0
AUD053,TRIP002,2024-02-06 07:06:30,270,71.7,conversation,0
AUD054,TRIP002,2024-02-06 07:07:00,300,65.9,conversation,0
AUD055,TRIP002,2024-02-06 07:07:30,330,65.0,conversation,0
AUD056,TRIP002,2024-02-06 07:08:00,360,68.0,conversation,0
AUD057,TRIP002,2024-02-06 07:08:30,390,69.8,conversation,0
AUD058,TRIP002,2024-02-06 07:09:00,420,69.8,conversation,0
AUD059,TRIP002,2024-02-06 07:09:30,450,70.2,conversation,0
AUD060,TRIP002,2024-02-06 07:10:00,480,69.9,conversation,0
AUD061,TRIP002,2024-02-06 07:10:30,510,69.1,conversation,0
AUD062,TRIP002,2024-02-06 07:11:00,540,66.9,conversation,0
AUD063,TRIP002,2024-02-06 07:11:30,570,66.1,conversation,0
AUD064,TRIP002,2024-02-06 07:12:00,600,65.3,conversation,0
AUD065,TRIP002,2024-02-06 07:12:30,630,64.0,normal,0
AUD066,TRIP002,2024-02-06 07:13:00,660,65.1,conversation,0
AUD067,TRIP002,2024-02-06 07:13:30,690,64.5,normal,0
AUD068,TRIP002,2024-02-06 07:14:00,720,66.8,conversation,0
AUD069,TRIP002,2024-02-06 07:14:30,750,65.4,conversation,0
AUD070,TRIP002,2024-02-06 07:15:00,780,60.5,normal,0
AUD071,TRIP002,2024-02-06 07:15:30,810,67.5,conversation,0
AUD072,TRIP002,2024-02-06 07:16:00,840,70.5,conversation,0
AUD073,TRIP002,2024-02-06 07:16:30,870,65.7,conversation,0
AUD074,TRIP002,2024-02-06 07:17:00,900,68.3,conversation,0
AUD075,TRIP002,2024-02-06 07:17:30,930,68.4,conversation,0
AUD076,TRIP002,2024-02-06 07:18:00,960,74.4,loud,0
AUD077,TRIP002,2024-02-06 07:18:30,990,66.4,conversation,0
AUD078,TRIP002,2024-02-06 07:19:00,1020,64.5,normal,0
AUD079,TRIP002,2024-02-06 07:19:30,1050,72.1,loud,0
AUD080,TRIP002,2024-02-06 07:20:00,1080,75.6,loud,0
AUD081,TRIP002,2024-02-06 07:20:30,1110,67.8,conversation,0
AUD082,TRIP002,2024-02-06 07:21:00,1140,68.6,conversation,0
AUD083,TRIP002,2024-02-06 07:21:30,1170,66.9,conversation,0
AUD084,TRIP002,2024-02-06 07:22:00,1200,70.2,conversation,0
AUD085,TRIP002,2024-02-06 07:22:30,1230,74.4,loud,0
AUD086,TRIP002,2024-02-06 07:23:00,1260,91.3,argument,30
AUD087,TRIP002,2024-02-06 07:23:30,1290,76.3,loud,0
AUD088,TRIP002,2024-02-06 07:24:00,1320,76.2,loud,0
AUD089,TRIP002,2024-02-06 07:24:30,1350,59.7,normal,0
AUD090,TRIP002,2024-02-06 07:25:00,1380,57.1,quiet,0
AUD091,TRIP002,2024-02-06 07:25:30,1410,51.0,quiet,0
AUD092,TRIP002,2024-02-06 07:26:00,1440,59.1,normal,0
AUD093,TRIP002,2024-02-06 07:26:30,1470,54.9,quiet,0
AUD094,TRIP002,2024-02-06 07:27:00,1500,71.8,conversation,0
AUD095,TRIP002,2024-02-06 07:27:30,1530,69.2,conversation,0
AUD096,TRIP002,2024-02-06 07:28:00,1560,69.4,conversation,0
AUD097,TRIP002,2024-02-06 07:28:30,1590,66.8,conversation,0
AUD098,TRIP002,2024-02-06 07:29:00,1620,67.7,conversation,0
AUD099,TRIP002,2024-02-06 07:29:30,1650,69.1,conversation,0
AUD100,TRIP002,2024-02-06 07:30:00,1680,68.1,conversation,0
AUD101,TRIP002,2024-02-06 07:30:30,1710,66.3,conversation,0
AUD102,TRIP002,2024-02-06 07:31:00,1740,62.9,normal,0
AUD103,TRIP002,2024-02-06 07:31:30,1770,67.3,conversation,0
AUD104,TRIP002,2024-02-06 07:32:00,1800,64.8,normal,0
AUD105,TRIP002,2024-02-06 07:32:30,1830,71.2,conversation,0
AUD106,TRIP002,2024-02-06 07:33:00,1860,65.9,conversation,0
AUD107,TRIP002,2024-02-06 07:33:30,1890,93.3,argument,30
AUD108,TRIP002,2024-02-06 07:34:00,1920,63.2,normal,0
AUD109,TRIP002,2024-02-06 07:34:30,1950,70.3,conversation,0
AUD110,TRIP002,2024-02-06 07:35:00,1980,68.6,conversation,0
AUD111,TRIP002,2024-02-06 07:35:30,2010,71.6,conversation,0
AUD112,TRIP002,2024-02-06 07:36:00,2040,64.7,normal,0
AUD113,TRIP002,2024-02-06 07:36:30,2070,69.4,conversation,0
AUD114,TRIP002,2024-02-06 07:37:00,2100,67.4,conversation,0
AUD115,TRIP002,2024-02-06 07:37:30,2130,67.6,conversation,0
AUD116,TRIP002,2024-02-06 07:38:00,2160,70.2,conversation,0
AUD117,TRIP002,2024-02-06 07:38:30,2190,69.7,conversation,0
AUD118,TRIP002,2024-02-06 07:39:00,2220,68.3,conversation,0
AUD119,TRIP002,2024-02-06 07:39:30,2250,65.4,conversation,0
AUD120,TRIP002,2024-02-06 07:40:00,2280,67.4,conversation,0
AUD121,TRIP002,2024-02-06 07:40:30,2310,67.3,conversation,0
AUD122,TRIP002,2024-02-06 07:41:00,2340,62.2,normal,0
AUD123,TRIP002,2024-02-06 07:41:30,2370,65.0,conversation,0
AUD124,TRIP002,2024-02-06 07:42:00,2400,69.9,conversation,0
AUD125,TRIP002,2024-02-06 07:42:30,2430,67.6,conversation,0
AUD126,TRIP002,2024-02-06 07:43:00,2460,71.0,conversation,0
AUD127,TRIP003,2024-02-06 07:50:00,0,61.1,normal,0
AUD128,TRIP003,2024-02-06 07:50:30,30,63.2,normal,0
AUD129,TRIP003,2024-02-06 07:51:00,60,61.6,normal,0
AUD130,TRIP003,2024-02-06 07:51:30,90,62.7,normal,0
AUD131,TRIP003,2024-02-06 07:52:00,120,61.7,normal,0
AUD132,TRIP003,2024-02-06 07:52:30,150,96.5,argument,30
AUD133,TRIP003,2024-02-06 07:53:00,180,69.7,conversation,0
AUD134,TRIP003,2024-02-06 07:53:30,210,66.1,conversation,0
AUD135,TRIP003,2024-02-06 07:54:00,240,70.6,conversation,0
AUD136,TRIP003,2024-02-06 07:54:30,270,70.4,conversation,0
AUD137,TRIP003,2024-02-06 07:55:00,300,80.4,loud,0
AUD138,TRIP003,2024-02-06 07:55:30,330,62.7,normal,0
AUD139,TRIP003,2024-02-06 07:56:00,360,93.4,argument,30
AUD140,TRIP003,2024-02-06 07:56:30,390,61.7,normal,0
AUD141,TRIP003,2024-02-06 07:57:00,420,71.1,conversation,0
AUD142,TRIP003,2024-02-06 07:57:30,450,61.1,normal,0
AUD143,TRIP003,2024-02-06 07:58:00,480,65.4,conversation,0
AUD144,TRIP003,2024-02-06 07:58:30,510,67.6,conversation,0
AUD145,TRIP003,2024-02-06 07:59:00,540,63.0,normal,0
AUD146,TRIP003,2024-02-06 07:59:30,570,64.3,normal,0
AUD147,TRIP003,2024-02-06 08:00:00,600,68.9,conversation,0
AUD148,TRIP003,2024-02-06 08:00:30,630,67.4,conversation,0
AUD149,TRIP003,2024-02-06 08:01:00,660,71.7,conversation,0
AUD150,TRIP003,2024-02-06 08:01:30,690,81.1,loud,0
AUD151,TRIP003,2024-02-06 08:02:00,720,73.1,loud,0
AUD152,TRIP003,2024-02-06 08:02:30,750,73.8,loud,0
AUD153,TRIP003,2024-02-06 08:03:00,780,72.3,loud,0
AUD154,TRIP003,2024-02-06 08:03:30,810,71.7,conversation,0
AUD155,TRIP003,2024-02-06 08:04:00,840,61.2,normal,0
AUD156,TRIP003,2024-02-06 08:04:30,870,66.2,conversation,0
AUD157,TRIP003,2024-02-06 08:05:00,900,73.5,loud,0
AUD158,TRIP003,2024-02-06 08:05:30,930,73.8,loud,0
AUD159,TRIP003,2024-02-06 08:06:00,960,79.7,loud,0
AUD160,TRIP003,2024-02-06 08:06:30,990,72.8,loud,0
AUD161,TRIP003,2024-02-06 08:07:00,1020,73.4,loud,0
AUD162,TRIP003,2024-02-06 08:07:30,1050,78.4,loud,0
AUD163,TRIP003,2024-02-06 08:08:00,1080,73.1,loud,0
AUD164,TRIP003,2024-02-06 08:08:30,1110,71.7,conversation,0
AUD165,TRIP003,2024-02-06 08:09:00,1140,73.9,loud,0
AUD166,TRIP003,2024-02-06 08:09:30,1170,67.9,conversation,0
AUD167,TRIP003,2024-02-06 08:10:00,1200,61.8,normal,0
AUD168,TRIP003,2024-02-06 08:10:30,1230,69.4,conversation,0
AUD169,TRIP003,2024-02-06 08:11:00,1260,63.7,normal,0
AUD170,TRIP003,2024-02-06 08:11:30,1290,61.6,normal,0
AUD171,TRIP003,2024-02-06 08:12:00,1320,65.7,conversation,0
AUD172,TRIP003,2024-02-06 08:12:30,1350,66.3,conversation,0
AUD173,TRIP003,2024-02-06 08:13:00,1380,63.1,normal,0
AUD174,TRIP003,2024-02-06 08:13:30,1410,65.3,conversation,0
AUD175,TRIP003,2024-02-06 08:14:00,1440,94.8,argument,30
AUD176,TRIP003,2024-02-06 08:14:30,1470,66.8,conversation,0
AUD177,TRIP003,2024-02-06 08:15:00,1500,70.2,conversation,0
AUD178,TRIP004,2024-02-06 08:21:00,0,71.8,conversation,0
AUD179,TRIP004,2024-02-06 08:21:30,30,69.2,conversation,0
AUD180,TRIP004,2024-02-06 08:22:00,60,63.1,normal,0
AUD181,TRIP004,2024-02-06 08:22:30,90,68.8,conversation,0
AUD182,TRIP004,2024-02-06 08:23:00,120,64.8,normal,0
AUD183,TRIP004,2024-02-06 08:23:30,150,77.1,loud,0
AUD184,TRIP004,2024-02-06 08:24:00,180,69.8,conversation,0
AUD185,TRIP004,2024-02-06 08:24:30,210,73.0,loud,0
AUD186,TRIP004,2024-02-06 08:25:00,240,71.2,conversation,0
AUD187,TRIP004,2024-02-06 08:25:30,270,69.6,conversation,0
AUD188,TRIP004,2024-02-06 08:26:00,300,64.4,normal,0
AUD189,TRIP004,2024-02-06 08:26:30,330,70.8,conversation,0
AUD190,TRIP004,2024-02-06 08:27:00,360,64.8,normal,0
AUD191,TRIP004,2024-02-06 08:27:30,390,67.0,conversation,0
AUD192,TRIP004,2024-02-06 08:28:00,420,61.7,normal,0
AUD193,TRIP004,2024-02-06 08:28:30,450,67.8,conversation,0
AUD194,TRIP004,2024-02-06 08:29:00,480,64.0,normal,0
AUD195,TRIP004,2024-02-06 08:29:30,510,65.2,conversation,0
AUD196,TRIP004,2024-02-06 08:30:00,540,67.6,conversation,0
AUD197,TRIP004,2024-02-06 08:30:30,570,60.1,normal,0
AUD198,TRIP004,2024-02-06 08:31:00,600,68.0,conversation,0
AUD199,TRIP004,2024-02-06 08:31:30,630,74.9,loud,0
AUD200,TRIP004,2024-02-06 08:32:00,660,78.1,loud,0
AUD201,TRIP004,2024-02-06 08:32:30,690,78.7,loud,0
AUD202,TRIP004,2024-02-06 08:33:00,720,64.6,normal,0
AUD203,TRIP004,2024-02-06 08:33:30,750,69.3,conversation,0
AUD204,TRIP004,2024-02-06 08:34:00,780,63.4,normal,0
AUD205,TRIP004,2024-02-06 08:34:30,810,63.3,normal,0
AUD206,TRIP004,2024-02-06 08:35:00,840,62.6,normal,0
AUD207,TRIP004,2024-02-06 08:35:30,870,96.5,argument,30
AUD208,TRIP004,2024-02-06 08:36:00,900,65.2,conversation,0
AUD209,TRIP004,2024-02-06 08:36:30,930,66.5,conversation,0
AUD210,TRIP004,2024-02-06 08:37:00,960,67.2,conversation,0
AUD211,TRIP004,2024-02-06 08:37:30,990,70.4,conversation,0
AUD212,TRIP004,2024-02-06 08:38:00,1020,72.6,loud,0
AUD213,TRIP004,2024-02-06 08:38:30,1050,62.8,normal,0
AUD214,TRIP004,2024-02-06 08:39:00,1080,61.8,normal,0
AUD215,TRIP004,2024-02-06 08:39:30,1110,53.6,quiet,0
AUD216,TRIP004,2024-02-06 08:40:00,1140,52.9,quiet,0
AUD217,TRIP004,2024-02-06 08:40:30,1170,53.6,quiet,0
AUD218,TRIP004,2024-02-06 08:41:00,1200,50.8,quiet,0
AUD219,TRIP004,2024-02-06 08:41:30,1230,62.1,normal,0
AUD220,TRIP004,2024-02-06 08:42:00,1260,92.3,argument,30
AUD221,TRIP004,2024-02-06 08:42:30,1290,55.2,quiet,0
AUD222,TRIP004,2024-02-06 08:43:00,1320,50.2,quiet,0
AUD223,TRIP005,2024-02-06 08:47:00,0,50.6,quiet,0
AUD224,TRIP005,2024-02-06 08:47:30,30,54.7,quiet,0
AUD225,TRIP005,2024-02-06 08:48:00,60,51.2,quiet,0
AUD226,TRIP005,2024-02-06 08:48:30,90,51.3,quiet,0
AUD227,TRIP005,2024-02-06 08:49:00,120,57.3,quiet,0
AUD228,TRIP005,2024-02-06 08:49:30,150,62.3,normal,0
AUD229,TRIP005,2024-02-06 08:50:00,180,97.2,argument,30
AUD230,TRIP005,2024-02-06 08:50:30,210,76.2,loud,0
AUD231,TRIP005,2024-02-06 08:51:00,240,76.1,loud,0
AUD232,TRIP005,2024-02-06 08:51:30,270,69.6,conversation,0
AUD233,TRIP005,2024-02-06 08:52:00,300,71.1,conversation,0
AUD234,TRIP005,2024-02-06 08:52:30,330,72.0,loud,0
AUD235,TRIP005,2024-02-06 08:53:00,360,80.0,loud,0
AUD236,TRIP005,2024-02-06 08:53:30,390,75.9,loud,0
AUD237,TRIP005,2024-02-06 08:54:00,420,77.4,loud,0
AUD238,TRIP005,2024-02-06 08:54:30,450,69.6,conversation,0
AUD239,TRIP005,2024-02-06 08:55:00,480,73.4,loud,0
AUD240,TRIP005,2024-02-06 08:55:30,510,67.3,conversation,0
AUD241,TRIP005,2024-02-06 08:56:00,540,53.8,quiet,0
AUD242,TRIP005,2024-02-06 08:56:30,570,51.4,quiet,0
AUD243,TRIP005,2024-02-06 08:57:00,600,58.9,normal,0
AUD244,TRIP005,2024-02-06 08:57:30,630,62.0,normal,0
AUD245,TRIP005,2024-02-06 08:58:00,660,67.3,conversation,0
AUD246,TRIP005,2024-02-06 08:58:30,690,69.2,conversation,0
AUD247,TRIP005,2024-02-06 08:59:00,720,66.6,conversation,0
AUD248,TRIP005,2024-02-06 08:59:30,750,68.7,conversation,0
AUD249,TRIP005,2024-02-06 09:00:00,780,77.5,loud,0
AUD250,TRIP005,2024-02-06 09:00:30,810,71.8,conversation,0
AUD251,TRIP005,2024-02-06 09:01:00,840,72.1,loud,0
AUD252,TRIP005,2024-02-06 09:01:30,870,69.3,conversation,0
AUD253,TRIP005,2024-02-06 09:02:00,900,67.2,conversation,0
AUD254,TRIP005,2024-02-06 09:02:30,930,68.1,conversation,0
AUD255,TRIP005,2024-02-06 09:03:00,960,69.6,conversation,0
AUD256,TRIP005,2024-02-06 09:03:30,990,62.9,normal,0
AUD257,TRIP005,2024-02-06 09:04:00,1020,70.5,conversation,0
AUD258,TRIP005,2024-02-06 09:04:30,1050,67.6,conversation,0
AUD259,TRIP005,2024-02-06 09:05:00,1080,97.0,argument,30
AUD260,TRIP005,2024-02-06 09:05:30,1110,66.7,conversation,0
AUD261,TRIP005,2024-02-06 09:06:00,1140,65.4,conversation,0
AUD262,TRIP005,2024-02-06 09:06:30,1170,77.7,loud,0
AUD263,TRIP005,2024-02-06 09:07:00,1200,67.3,conversation,0
AUD264,TRIP005,2024-02-06 09:07:30,1230,72.5,loud,0
AUD265,TRIP005,2024-02-06 09:08:00,1260,71.6,conversation,0
AUD266,TRIP005,2024-02-06 09:08:30,1290,65.0,conversation,0
AUD267,TRIP005,2024-02-06 09:09:00,1320,69.0,conversation,0
AUD268,TRIP005,2024-02-06 09:09:30,1350,70.3,conversation,0
AUD269,TRIP005,2024-02-06 09:10:00,1380,71.7,conversation,0
AUD270,TRIP005,2024-02-06 09:10:30,1410,71.9,conversation,0
AUD271,TRIP005,2024-02-06 09:11:00,1440,69.9,conversation,0
AUD272,TRIP005,2024-02-06 09:11:30,1470,78.1,loud,0
AUD273,TRIP005,2024-02-06 09:12:00,1500,72.3,loud,0
AUD274,TRIP005,2024-02-06 09:12:30,1530,81.4,loud,0
AUD275,TRIP005,2024-02-06 09:13:00,1560,79.2,loud,0
AUD276,TRIP005,2024-02-06 09:13:30,1590,71.3,conversation,0
AUD277,TRIP005,2024-02-06 09:14:00,1620,75.7,loud,0
AUD278,TRIP005,2024-02-06 09:14:30,1650,74.1,loud,0
AUD279,TRIP005,2024-02-06 09:15:00,1680,73.4,loud,0
AUD280,TRIP005,2024-02-06 09:15:30,1710,74.6,loud,0
AUD281,TRIP005,2024-02-06 09:16:00,1740,65.8,conversation,0
AUD282,TRIP005,2024-02-06 09:16:30,1770,67.1,conversation,0
AUD283,TRIP005,2024-02-06 09:17:00,1800,61.7,normal,0
AUD284,TRIP005,2024-02-06 09:17:30,1830,71.8,conversation,0
AUD285,TRIP005,2024-02-06 09:18:00,1860,73.8,loud,0
AUD286,TRIP005,2024-02-06 09:18:30,1890,69.7,conversation,0
AUD287,TRIP005,2024-02-06 09:19:00,1920,62.6,normal,0
AUD288,TRIP005,2024-02-06 09:19:30,1950,65.2,conversation,0
AUD289,TRIP005,2024-02-06 09:20:00,1980,68.3,conversation,0
AUD290,TRIP005,2024-02-06 09:20:30,2010,68.4,conversation,0
AUD291,TRIP005,2024-02-06 09:21:00,2040,74.4,loud,0
AUD292,TRIP005,2024-02-06 09:21:30,2070,73.3,loud,0
AUD293,TRIP005,2024-02-06 09:22:00,2100,80.8,loud,0
AUD294,TRIP005,2024-02-06 09:22:30,2130,80.5,loud,0
AUD295,TRIP005,2024-02-06 09:23:00,2160,70.1,conversation,0
AUD296,TRIP005,2024-02-06 09:23:30,2190,68.5,conversation,0
AUD297,TRIP005,2024-02-06 09:24:00,2220,70.8,conversation,0
AUD298,TRIP005,2024-02-06 09:24:30,2250,67.3,conversation,0
AUD299,TRIP005,2024-02-06 09:25:00,2280,53.9,quiet,0
AUD300,TRIP005,2024-02-06 09:25:30,2310,53.0,quiet,0
AUD301,TRIP005,2024-02-06 09:26:00,2340,53.0,quiet,0
AUD302,TRIP006,2024-02-06 09:30:00,0,63.3,normal,0
AUD303,TRIP006,2024-02-06 09:30:30,30,62.0,normal,0
AUD304,TRIP006,2024-02-06 09:31:00,60,67.0,conversation,0
AUD305,TRIP006,2024-02-06 09:31:30,90,61.4,normal,0
AUD306,TRIP006,2024-02-06 09:32:00,120,62.7,normal,0
AUD307,TRIP006,2024-02-06 09:32:30,150,69.4,conversation,0
AUD308,TRIP006,2024-02-06 09:33:00,180,62.1,normal,0
AUD309,TRIP006,2024-02-06 09:33:30,210,65.6,conversation,0
AUD310,TRIP006,2024-02-06 09:34:00,240,69.6,conversation,0
AUD311,TRIP006,2024-02-06 09:34:30,270,58.4,normal,0
AUD312,TRIP006,2024-02-06 09:35:00,300,51.3,quiet,0
AUD313,TRIP006,2024-02-06 09:35:30,330,53.4,quiet,0
AUD314,TRIP006,2024-02-06 09:36:00,360,65.9,conversation,0
AUD315,TRIP006,2024-02-06 09:36:30,390,69.2,conversation,0
AUD316,TRIP006,2024-02-06 09:37:00,420,66.2,conversation,0
AUD317,TRIP006,2024-02-06 09:37:30,450,67.6,conversation,0
AUD318,TRIP006,2024-02-06 09:38:00,480,66.1,conversation,0
AUD319,TRIP006,2024-02-06 09:38:30,510,69.7,conversation,0
AUD320,TRIP006,2024-02-06 09:39:00,540,96.0,argument,30
AUD321,TRIP006,2024-02-06 09:39:30,570,68.7,conversation,0
AUD322,TRIP006,2024-02-06 09:40:00,600,64.5,normal,0
AUD323,TRIP006,2024-02-06 09:40:30,630,73.6,loud,0
AUD324,TRIP006,2024-02-06 09:41:00,660,67.7,conversation,0
AUD325,TRIP006,2024-02-06 09:41:30,690,50.8,quiet,0
AUD326,TRIP006,2024-02-06 09:42:00,720,51.8,quiet,0
AUD327,TRIP006,2024-02-06 09:42:30,750,51.7,quiet,0
AUD328,TRIP006,2024-02-06 09:43:00,780,69.8,conversation,0
AUD329,TRIP006,2024-02-06 09:43:30,810,68.7,conversation,0
AUD330,TRIP006,2024-02-06 09:44:00,840,74.6,loud,0
AUD331,TRIP006,2024-02-06 09:44:30,870,67.2,conversation,0
AUD332,TRIP006,2024-02-06 09:45:00,900,71.7,conversation,0
AUD333,TRIP006,2024-02-06 09:45:30,930,65.3,conversation,0
AUD334,TRIP006,2024-02-06 09:46:00,960,62.2,normal,0
AUD335,TRIP006,2024-02-06 09:46:30,990,71.6,conversation,0
AUD336,TRIP006,2024-02-06 09:47:00,1020,70.4,conversation,0
AUD337,TRIP006,2024-02-06 09:47:30,1050,75.1,loud,0
AUD338,TRIP006,2024-02-06 09:48:00,1080,71.8,conversation,0
AUD339,TRIP006,2024-02-06 09:48:30,1110,70.1,conversation,0
AUD340,TRIP006,2024-02-06 09:49:00,1140,64.7,normal,0
AUD341,TRIP006,2024-02-06 09:49:30,1170,68.4,conversation,0
AUD342,TRIP006,2024-02-06 09:50:00,1200,65.4,conversation,0
AUD343,TRIP006,2024-02-06 09:50:30,1230,68.6,conversation,0
AUD344,TRIP006,2024-02-06 09:51:00,1260,64.1,normal,0
AUD345,TRIP006,2024-02-06 09:51:30,1290,62.4,normal,0
AUD346,TRIP006,2024-02-06 09:52:00,1320,62.7,normal,0
AUD347,TRIP006,2024-02-06 09:52:30,1350,69.4,conversation,0
AUD348,TRIP006,2024-02-06 09:53:00,1380,70.1,conversation,0
AUD349,TRIP006,2024-02-06 09:53:30,1410,76.6,loud,0
AUD350,TRIP006,2024-02-06 09:54:00,1440,76.4,loud,0
AUD351,TRIP006,2024-02-06 09:54:30,1470,78.6,loud,0
AUD352,TRIP006,2024-02-06 09:55:00,1500,69.3,conversation,0
AUD353,TRIP006,2024-02-06 09:55:30,1530,67.5,conversation,0
AUD354,TRIP006,2024-02-06 09:56:00,1560,60.7,normal,0
AUD355,TRIP006,2024-02-06 09:56:30,1590,68.5,conversation,0
AUD356,TRIP006,2024-02-06 09:57:00,1620,69.5,conversation,0
AUD357,TRIP006,2024-02-06 09:57:30,1650,67.3,conversation,0
AUD358,TRIP006,2024-02-06 09:58:00,1680,69.6,conversation,0
AUD359,TRIP006,2024-02-06 09:58:30,1710,68.5,conversation,0
AUD360,TRIP006,2024-02-06 09:59:00,1740,68.1,conversation,0
AUD361,TRIP006,2024-02-06 09:59:30,1770,65.6,conversation,0
AUD362,TRIP006,2024-02-06 10:00:00,1800,71.8,conversation,0
AUD363,TRIP006,2024-02-06 10:00:30,1830,67.0,conversation,0
AUD364,TRIP006,2024-02-06 10:01:00,1860,77.5,loud,0
AUD365,TRIP006,2024-02-06 10:01:30,1890,70.8,conversation,0
AUD366,TRIP006,2024-02-06 10:02:00,1920,73.1,loud,0
AUD367,TRIP006,2024-02-06 10:02:30,1950,72.8,loud,0
AUD368,TRIP006,2024-02-06 10:03:00,1980,66.9,conversation,0
AUD369,TRIP006,2024-02-06 10:03:30,2010,74.0,loud,0
AUD370,TRIP006,2024-02-06 10:04:00,2040,60.9,normal,0
AUD371,TRIP006,2024-02-06 10:04:30,2070,60.6,normal,0
AUD372,TRIP006,2024-02-06 10:05:00,2100,67.1,conversation,0
AUD373,TRIP006,2024-02-06 10:05:30,2130,60.1,normal,0
AUD374,TRIP006,2024-02-06 10:06:00,2160,71.6,conversation,0
AUD375,TRIP007,2024-02-06 10:15:00,0,58.1,normal,0
AUD376,TRIP007,2024-02-06 10:15:30,30,58.5,normal,0
AUD377,TRIP007,2024-02-06 10:16:00,60,54.3,quiet,0
AUD378,TRIP007,2024-02-06 10:16:30,90,66.1,conversation,0
AUD379,TRIP007,2024-02-06 10:17:00,120,65.5,conversation,0
AUD380,TRIP007,2024-02-06 10:17:30,150,71.1,conversation,0
AUD381,TRIP007,2024-02-06 10:18:00,180,67.6,conversation,0
AUD382,TRIP007,2024-02-06 10:18:30,210,70.1,conversation,0
AUD383,TRIP007,2024-02-06 10:19:00,240,75.3,loud,0
AUD384,TRIP007,2024-02-06 10:19:30,270,71.7,conversation,0
AUD385,TRIP007,2024-02-06 10:20:00,300,60.4,normal,0
AUD386,TRIP007,2024-02-06 10:20:30,330,60.8,normal,0
