sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC026,TRIP001,2024-02-06 06:44:15,375,0.098,3.3779,9.5836,29.8,19.1328,72.8089
ACC027,TRIP001,2024-02-06 06:44:30,390,-0.1366,2.7097,9.7294,34.5,19.1318,72.809
ACC028,TRIP001,2024-02-06 06:44:45,405,0.1627,2.7742,9.6155,41.0,19.1311,72.8075
ACC029,TRIP001,2024-02-06 06:45:00,420,-0.2942,1.6505,9.7708,49.4,19.1313,72.8072
ACC030,TRIP001,2024-02-06 06:45:15,435,0.2394,1.9202,9.6124,58.8,19.1326,72.8088
ACC031,TRIP001,2024-02-06 06:45:30,450,-0.158,-0.27,9.8,61.6,19.1338,72.8108
ACC032,TRIP001,2024-02-06 06:45:45,465,0.1208,-0.094,9.6097,63.0,19.1326,72.8092
ACC033,TRIP001,2024-02-06 06:46:00,480,-0.0902,0.2564,9.8178,62.8,19.1312,72.8112
ACC034,TRIP001,2024-02-06 06:46:15,495,-0.1013,-0.3779,9.8193,62.9,19.132,72.8128
ACC035,TRIP001,2024-02-06 06:46:30,510,-0.277,0.0773,9.6864,61.5,19.1324,72.815
ACC036,TRIP001,2024-02-06 06:46:45,525,0.1121,0.3522,9.7843,61.1,19.1325,72.8164
ACC037,TRIP001,2024-02-06 06:47:00,540,0.2525,0.0985,9.7658,59.3,19.1322,72.8184
ACC038,TRIP001,2024-02-06 06:47:15,555,0.1489,-0.2608,9.7423,57.5,19.1329,72.8179
ACC039,TRIP001,2024-02-06 06:47:30,570,-0.1739,0.2286,9.7517,56.9,19.1343,72.8171
ACC040,TRIP001,2024-02-06 06:47:45,585,0.1911,3.0023,9.7182,64.0,19.1349,72.8163
ACC041,TRIP001,2024-02-06 06:48:00,600,-0.1531,2.4503,9.7624,69.3,19.1333,72.8138
ACC042,TRIP001,2024-02-06 06:48:15,615,0.162,1.7132,9.6563,70.0,19.1307,72.8151
ACC043,TRIP001,2024-02-06 06:48:30,630,-0.2699,1.9984,9.7621,70.0,19.1331,72.8152
ACC044,TRIP001,2024-02-06 06:48:45,645,0.1983,2.5957,9.7743,70.0,19.1343,72.8152
ACC045,TRIP001,2024-02-06 06:49:00,660,-0.1517,2.7753,9.7415,70.0,19.1342,72.8139
ACC046,TRIP001,2024-02-06 06:49:15,675,0.1164,2.9128,9.5661,70.0,19.1323,72.8125
ACC047,TRIP001,2024-02-06 06:49:30,690,0.2429,0.0673,9.7739,65.0,19.1309,72.8121
ACC048,TRIP001,2024-02-06 06:49:45,705,0.0277,0.0826,9.6551,65.0,19.1305,72.8133
ACC049,TRIP001,2024-02-06 06:50:00,720,-0.0983,0.1433,9.7011,63.3,19.1302,72.8111
ACC050,TRIP001,2024-02-06 06:50:15,735,-0.023,-0.3598,9.6948,60.5,19.1308,72.8094
ACC051,TRIP001,2024-02-06 06:50:30,750,-0.0725,0.2016,9.808,58.8,19.13,72.8106
ACC052,TRIP001,2024-02-06 06:50:45,765,0.2698,-0.2405,9.6051,60.5,19.1307,72.8118
ACC053,TRIP001,2024-02-06 06:51:00,780,0.0384,-0.2256,9.7749,58.4,19.1291,72.8125
ACC054,TRIP001,2024-02-06 06:51:15,795,0.1064,0.3665,9.6992,56.0,19.1271,72.8117
ACC055,TRIP001,2024-02-06 06:51:30,810,0.0763,-0.3185,9.7931,57.3,19.1253,72.8125
ACC056,TRIP001,2024-02-06 06:51:45,825,0.2097,0.2579,9.6264,56.5,19.1253,72.8118
ACC057,TRIP001,2024-02-06 06:52:00,840,0.0465,-0.023,9.8308,50.0,19.1251,72.8127
ACC058,TRIP001,2024-02-06 06:52:15,855,-0.0035,0.011,9.7879,46.6,19.1264,72.8118
ACC059,TRIP001,2024-02-06 06:52:30,870,-0.0288,0.0298,9.784,43.5,19.1275,72.8108
ACC060,TRIP001,2024-02-06 06:52:45,885,0.0146,-0.0009,9.8293,38.1,19.1282,72.8113
ACC061,TRIP001,2024-02-06 06:53:00,900,-0.0194,0.0082,9.7973,34.6,19.1275,72.8118
ACC062,TRIP001,2024-02-06 06:53:15,915,0.0036,0.0262,9.7685,31.0,19.1268,72.8109
ACC063,TRIP001,2024-02-06 06:53:30,930,0.0477,0.0025,9.7783,26.9,19.1268,72.8114
ACC064,TRIP001,2024-02-06 06:53:45,945,-0.0374,0.0368,9.7991,19.0,19.1269,72.8117
ACC065,TRIP001,2024-02-06 06:54:00,960,-0.006,-0.0316,9.7551,11.6,19.127,72.8117
ACC066,TRIP001,2024-02-06 06:54:15,975,0.0494,-0.0382,9.8264,7.9,19.127,72.8116
ACC067,TRIP001,2024-02-06 06:54:30,990,-0.1621,-2.7052,9.6072,0.0,19.127,72.8116
ACC068,TRIP001,2024-02-06 06:54:45,1005,-0.2748,-3.1013,9.6723,0.0,19.127,72.8116
ACC069,TRIP001,2024-02-06 06:55:00,1020,-0.1738,-2.1089,9.5178,0.0,19.127,72.8116
ACC070,TRIP001,2024-02-06 06:55:15,1035,-0.2862,-3.8688,9.6982,0.0,19.127,72.8116
ACC071,TRIP001,2024-02-06 06:55:30,1050,-0.0487,-2.9689,9.576,0.0,19.127,72.8116
ACC072,TRIP001,2024-02-06 06:55:45,1065,0.1394,-2.1069,9.6468,0.0,19.127,72.8116
ACC073,TRIP001,2024-02-06 06:56:00,1080,0.0114,-0.0462,9.6695,10.0,19.1272,72.8114
ACC074,TRIP001,2024-02-06 06:56:15,1095,-0.0027,0.1301,9.7001,10.0,19.1269,72.8113
ACC075,TRIP001,2024-02-06 06:56:30,1110,-0.1486,-0.3073,9.7931,11.6,19.1265,72.8109
ACC076,TRIP001,2024-02-06 06:56:45,1125,-0.269,-0.1864,9.6328,12.3,19.1265,72.8108
ACC077,TRIP001,2024-02-06 06:57:00,1140,-0.2827,0.104,9.7998,11.0,19.1268,72.8108
ACC078,TRIP001,2024-02-06 06:57:15,1155,0.2596,-0.1665,9.7764,13.7,19.127,72.8104
ACC079,TRIP001,2024-02-06 06:57:30,1170,-0.0259,-0.2843,9.6477,13.2,19.127,72.8104
ACC080,TRIP001,2024-02-06 06:57:45,1185,0.0522,0.3991,9.7224,15.1,19.1268,72.8102
ACC081,TRIP001,2024-02-06 06:58:00,1200,0.0312,0.0347,9.7138,13.0,19.1268,72.81
ACC082,TRIP001,2024-02-06 06:58:15,1215,-0.0684,0.131,9.8052,14.5,19.127,72.8103
ACC083,TRIP001,2024-02-06 06:58:30,1230,0.0014,0.0721,9.8174,17.4,19.127,72.8097
ACC084,TRIP001,2024-02-06 06:58:45,1245,-0.0969,0.1542,9.7625,15.3,19.127,72.8102
ACC085,TRIP001,2024-02-06 06:59:00,1260,-0.072,-0.1467,9.7797,17.4,19.1275,72.8107
ACC086,TRIP002,2024-02-06 07:02:00,0,-0.0454,0.0296,9.7793,0.0,19.1299,72.8274
ACC087,TRIP002,2024-02-06 07:02:15,15,0.0413,-0.0357,9.7961,0.0,19.1299,72.8274
ACC088,TRIP002,2024-02-06 07:02:30,30,0.0305,0.0401,9.8178,0.0,19.1299,72.8274
ACC089,TRIP002,2024-02-06 07:02:45,45,-0.0017,-0.0263,9.8072,0.0,19.1299,72.8274
ACC090,TRIP002,2024-02-06 07:03:00,60,-0.2951,0.2921,9.7946,10.0,19.1301,72.8273
ACC091,TRIP002,2024-02-06 07:03:15,75,-0.1496,0.2045,9.7919,11.8,19.1299,72.827
ACC092,TRIP002,2024-02-06 07:03:30,90,0.0765,-0.3685,9.7972,12.9,19.1295,72.8266
ACC093,TRIP002,2024-02-06 07:03:45,105,0.0011,-0.182,9.6411,14.6,19.1299,72.8265
ACC094,TRIP002,2024-02-06 07:04:00,120,-0.1229,0.2963,9.8011,17.1,19.1305,72.8271
ACC095,TRIP002,2024-02-06 07:04:15,135,-0.0633,-0.1884,9.6309,19.2,19.1306,72.8265
ACC096,TRIP002,2024-02-06 07:04:30,150,-0.0714,0.1108,9.6929,18.4,19.1309,72.8262
ACC097,TRIP002,2024-02-06 07:04:45,165,-0.2882,-1.9182,9.5761,4.3,19.1308,72.8262
ACC098,TRIP002,2024-02-06 07:05:00,180,-0.2915,-3.002,9.6676,0.0,19.1308,72.8262
ACC099,TRIP002,2024-02-06 07:05:15,195,-0.3738,-3.1848,9.6108,0.0,19.1308,72.8262
ACC100,TRIP002,2024-02-06 07:05:30,210,0.1485,-2.8022,9.7445,0.0,19.1308,72.8262
ACC101,TRIP002,2024-02-06 07:05:45,225,0.2294,-3.4641,9.5315,0.0,19.1308,72.8262
ACC102,TRIP002,2024-02-06 07:06:00,240,-0.2343,-3.5249,9.7174,0.0,19.1308,72.8262
ACC103,TRIP002,2024-02-06 07:06:15,255,-0.3794,-3.9673,9.6975,0.0,19.1308,72.8262
ACC104,TRIP002,2024-02-06 07:06:30,270,-0.3581,-2.3682,9.6315,0.0,19.1308,72.8262
ACC105,TRIP002,2024-02-06 07:06:45,285,0.0172,-2.9923,9.741,0.0,19.1308,72.8262
ACC106,TRIP002,2024-02-06 07:07:00,300,0.1489,-2.9214,9.7274,0.0,19.1308,72.8262
ACC107,TRIP002,2024-02-06 07:07:15,315,0.1211,0.2822,9.7627,10.0,19.1309,72.8259
ACC108,TRIP002,2024-02-06 07:07:30,330,-0.0291,-0.2172,9.6847,11.6,19.1311,72.8257
ACC109,TRIP002,2024-02-06 07:07:45,345,-0.2441,-0.3227,9.7847,14.1,19.1306,72.8261
ACC110,TRIP002,2024-02-06 07:08:00,360,0.037,-0.1363,9.6306,16.0,19.1307,72.8262
ACC111,TRIP002,2024-02-06 07:08:15,375,0.094,-0.2206,9.6271,15.1,19.1308,72.8259
ACC112,TRIP002,2024-02-06 07:08:30,390,0.0445,0.2458,9.8113,17.2,19.1306,72.8262
ACC113,TRIP002,2024-02-06 07:08:45,405,-0.1146,-0.1281,9.6015,15.8,19.1302,72.8264
ACC114,TRIP002,2024-02-06 07:09:00,420,-2.6192,-0.2849,9.684,13.5,19.1304,72.8269
ACC115,TRIP002,2024-02-06 07:09:15,435,2.1647,-0.076,9.7214,10.9,19.1305,72.827
ACC116,TRIP002,2024-02-06 07:09:30,450,2.1449,-0.2168,9.7357,7.2,19.1303,72.827
ACC117,TRIP002,2024-02-06 07:09:45,465,1.68,-0.0026,9.6861,5.0,19.1302,72.8269
ACC118,TRIP002,2024-02-06 07:10:00,480,1.6081,0.3618,9.6085,5.0,19.1302,72.8268
ACC119,TRIP002,2024-02-06 07:10:15,495,2.748,0.4198,9.6176,5.0,19.13,72.8267
ACC120,TRIP002,2024-02-06 07:10:30,510,-2.0937,-0.1897,9.6679,5.0,19.1299,72.8267
ACC121,TRIP002,2024-02-06 07:10:45,525,-1.6542,-0.244,9.6347,5.0,19.13,72.8268
ACC122,TRIP002,2024-02-06 07:11:00,540,2.1959,0.0637,9.7159,5.0,19.1301,72.8266
ACC123,TRIP002,2024-02-06 07:11:15,555,-0.2663,0.0059,9.6776,10.0,19.13,72.8264
ACC124,TRIP002,2024-02-06 07:11:30,570,-0.254,0.2914,9.8138,10.0,19.1297,72.8266
ACC125,TRIP002,2024-02-06 07:11:45,585,-0.0146,-0.2793,9.6155,11.9,19.1298,72.8264
ACC126,TRIP002,2024-02-06 07:12:00,600,0.1286,0.0036,9.6431,10.0,19.1301,72.8263
ACC127,TRIP002,2024-02-06 07:12:15,615,0.1735,0.1178,9.6165,10.0,19.13,72.8264
ACC128,TRIP002,2024-02-06 07:12:30,630,0.1342,0.1253,9.8266,10.0,19.1301,72.8262
ACC129,TRIP002,2024-02-06 07:12:45,645,-0.1143,-0.0987,9.7979,10.0,19.1302,72.8265
ACC130,TRIP002,2024-02-06 07:13:00,660,0.1433,0.1483,9.7316,11.9,19.1304,72.8268
ACC131,TRIP002,2024-02-06 07:13:15,675,-0.2537,0.2755,9.6253,11.8,19.1302,72.8265
ACC132,TRIP002,2024-02-06 07:13:30,690,-0.2774,-0.1306,9.7916,13.4,19.1305,72.8269
ACC133,TRIP002,2024-02-06 07:13:45,705,0.0664,0.2019,9.796,12.6,19.1307,72.8273
ACC134,TRIP002,2024-02-06 07:14:00,720,0.1706,0.3232,9.6485,11.0,19.1305,72.8277
ACC135,TRIP002,2024-02-06 07:14:15,735,0.2238,-0.3583,9.7201,10.0,19.1303,72.8278
ACC136,TRIP002,2024-02-06 07:14:30,750,0.0095,-0.3003,9.621,10.0,19.1306,72.828
ACC137,TRIP002,2024-02-06 07:14:45,765,-0.0621,-0.1008,9.6965,12.3,19.131,72.8279
ACC138,TRIP002,2024-02-06 07:15:00,780,-0.2406,0.1718,9.6838,10.0,19.1308,72.8278
ACC139,TRIP002,2024-02-06 07:15:15,795,-0.1706,-0.2804,9.8351,10.7,19.1311,72.8274
ACC140,TRIP002,2024-02-06 07:15:30,810,-0.1574,-0.3025,9.6596,11.4,19.131,72.8276
ACC141,TRIP002,2024-02-06 07:15:45,825,-0.2991,-0.1177,9.7427,11.9,19.1312,72.8274
ACC142,TRIP002,2024-02-06 07:16:00,840,0.0264,0.2291,9.7269,12.0,19.1311,72.8278
ACC143,TRIP002,2024-02-06 07:16:15,855,-0.2378,0.0655,9.7892,10.0,19.1309,72.8279
ACC144,TRIP002,2024-02-06 07:16:30,870,0.0857,0.2643,9.7712,10.0,19.1308,72.8278
ACC145,TRIP002,2024-02-06 07:16:45,885,-0.1106,-0.1519,9.6996,10.0,19.131,72.8281
ACC146,TRIP002,2024-02-06 07:17:00,900,2.7932,-0.4522,9.7311,7.0,19.1311,72.8279
ACC147,TRIP002,2024-02-06 07:17:15,915,2.7017,0.2271,9.6158,5.0,19.1312,72.8279
ACC148,TRIP002,2024-02-06 07:17:30,930,1.6539,-0.1721,9.6591,5.0,19.1313,72.8279
ACC149,TRIP002,2024-02-06 07:17:45,945,-1.6126,0.1375,9.6727,5.0,19.1313,72.828
ACC150,TRIP002,2024-02-06 07:18:00,960,-2.773,0.1781,9.6876,5.0,19.1314,72.8282
ACC151,TRIP002,2024-02-06 07:18:15,975,-2.3609,0.0295,9.6796,5.0,19.1314,72.8282
ACC152,TRIP002,2024-02-06 07:18:30,990,-2.2486,-0.113,9.7123,5.0,19.1313,72.8281
ACC153,TRIP002,2024-02-06 07:18:45,1005,2.9959,0.3105,9.7935,5.0,19.1314,72.8281
ACC154,TRIP002,2024-02-06 07:19:00,1020,2.837,0.3514,9.7424,5.0,19.1315,72.8282
ACC155,TRIP002,2024-02-06 07:19:15,1035,2.2011,0.483,9.626,5.0,19.1313,72.8282
ACC156,TRIP002,2024-02-06 07:19:30,1050,0.0206,0.2153,11.8517,5.0,19.1315,72.8283
ACC157,TRIP002,2024-02-06 07:19:45,1065,0.373,-0.0539,12.4196,5.0,19.1316,72.8282
ACC158,TRIP002,2024-02-06 07:20:00,1080,-0.2683,-0.1419,11.1107,5.0,19.1315,72.8281
ACC159,TRIP002,2024-02-06 07:20:15,1095,0.0021,-0.2651,12.6204,5.0,19.1314,72.8281
ACC160,TRIP002,2024-02-06 07:20:30,1110,-0.283,-0.3636,9.7604,10.0,19.1314,72.8283
ACC161,TRIP002,2024-02-06 07:20:45,1125,0.1828,0.148,9.6744,10.0,19.1317,72.8283
ACC162,TRIP002,2024-02-06 07:21:00,1140,-0.0094,-0.2368,9.7517,10.0,19.1314,72.8283
ACC163,TRIP002,2024-02-06 07:21:15,1155,-0.1395,-0.2017,9.6242,10.4,19.1313,72.8283
ACC164,TRIP002,2024-02-06 07:21:30,1170,-0.151,0.2922,9.6399,10.0,19.1312,72.8284
ACC165,TRIP002,2024-02-06 07:21:45,1185,0.0033,0.3733,9.6538,10.0,19.1308,72.8287
ACC166,TRIP002,2024-02-06 07:22:00,1200,0.2294,0.1234,9.7176,10.0,19.1305,72.8287
ACC167,TRIP002,2024-02-06 07:22:15,1215,0.0319,-0.3412,9.7261,10.0,19.1306,72.8285
ACC168,TRIP002,2024-02-06 07:22:30,1230,-0.2228,1.6934,9.6433,19.0,19.1308,72.8287
ACC169,TRIP002,2024-02-06 07:22:45,1245,0.0116,1.7979,9.7733,23.2,19.1312,72.8292
ACC170,TRIP002,2024-02-06 07:23:00,1260,-0.0642,2.733,9.7607,28.0,19.1321,72.8288
ACC171,TRIP002,2024-02-06 07:23:15,1275,0.2393,3.2442,9.7073,32.7,19.1319,72.8283
ACC172,TRIP002,2024-02-06 07:23:30,1290,0.2832,2.6569,9.6069,40.3,19.1312,72.8288
ACC173,TRIP002,2024-02-06 07:23:45,1305,-0.1855,2.3821,9.6547,45.8,19.1314,72.8295
ACC174,TRIP002,2024-02-06 07:24:00,1320,0.0669,2.4432,9.7621,52.3,19.1302,72.8295
ACC175,TRIP002,2024-02-06 07:24:15,1335,0.0272,0.0221,9.8143,44.7,19.1297,72.829
ACC176,TRIP002,2024-02-06 07:24:30,1350,-0.0253,0.0058,9.7725,38.2,19.13,72.8281
ACC177,TRIP002,2024-02-06 07:24:45,1365,-0.0378,0.0177,9.788,30.5,19.1307,72.8276
ACC178,TRIP002,2024-02-06 07:25:00,1380,0.0305,-0.021,9.7788,22.6,19.1312,72.8284
ACC179,TRIP002,2024-02-06 07:25:15,1395,0.0116,0.0087,9.7742,14.9,19.1314,72.828
ACC180,TRIP002,2024-02-06 07:25:30,1410,-0.0448,-0.0087,9.8217,8.6,19.1314,72.8281
ACC181,TRIP002,2024-02-06 07:25:45,1425,0.0464,-0.0179,9.8146,1.2,19.1314,72.8281
ACC182,TRIP002,2024-02-06 07:26:00,1440,0.0035,0.0223,9.8437,0.0,19.1314,72.8281
ACC183,TRIP002,2024-02-06 07:26:15,1455,0.0426,0.0377,9.7509,0.0,19.1314,72.8281
ACC184,TRIP002,2024-02-06 07:26:30,1470,-0.0215,0.0489,9.8043,0.0,19.1314,72.8281
ACC185,TRIP002,2024-02-06 07:26:45,1485,-0.123,0.1395,9.6483,10.0,19.131,72.828
ACC186,TRIP002,2024-02-06 07:27:00,1500,-0.0434,-0.1377,9.7002,10.7,19.1311,72.8279
ACC187,TRIP002,2024-02-06 07:27:15,1515,0.0437,-0.1908,9.6899,10.0,19.131,72.828
ACC188,TRIP002,2024-02-06 07:27:30,1530,-0.2042,0.1489,9.8308,10.0,19.1311,72.828
ACC189,TRIP002,2024-02-06 07:27:45,1545,0.2933,-0.1011,9.7755,12.7,19.1311,72.828
ACC190,TRIP002,2024-02-06 07:28:00,1560,0.1954,0.2095,9.7701,15.2,19.1314,72.8283
ACC191,TRIP002,2024-02-06 07:28:15,1575,0.022,-0.2684,9.8136,17.2,19.1319,72.8279
ACC192,TRIP002,2024-02-06 07:28:30,1590,-0.0327,-0.3555,9.633,18.5,19.1319,72.8285
ACC193,TRIP002,2024-02-06 07:28:45,1605,-0.0458,0.1603,9.7353,15.5,19.1316,72.828
ACC194,TRIP002,2024-02-06 07:29:00,1620,-0.0168,-0.1703,9.645,12.9,19.132,72.8285
ACC195,TRIP002,2024-02-06 07:29:15,1635,0.2785,0.2996,9.6332,15.4,19.1319,72.828
ACC196,TRIP002,2024-02-06 07:29:30,1650,-0.0642,-0.2981,9.8447,17.6,19.1314,72.8287
ACC197,TRIP002,2024-02-06 07:29:45,1665,-0.1869,0.3002,9.7914,16.0,19.1314,72.8283
ACC198,TRIP002,2024-02-06 07:30:00,1680,-0.1556,-0.3462,9.7485,16.7,19.1319,72.8288
ACC199,TRIP002,2024-02-06 07:30:15,1695,0.2961,-0.2127,9.8291,18.2,19.1323,72.8283
ACC200,TRIP002,2024-02-06 07:30:30,1710,0.191,-0.2105,9.8191,18.7,19.1324,72.8287
ACC201,TRIP002,2024-02-06 07:30:45,1725,-0.2719,-0.1245,9.7608,16.8,19.1326,72.8288
ACC202,TRIP002,2024-02-06 07:31:00,1740,-0.055,-0.1601,9.646,16.1,19.1326,72.829
ACC203,TRIP002,2024-02-06 07:31:15,1755,-0.0669,-0.196,9.6826,15.6,19.1325,72.829
ACC204,TRIP002,2024-02-06 07:31:30,1770,0.0214,0.2635,9.6129,13.1,19.1325,72.8289
ACC205,TRIP002,2024-02-06 07:31:45,1785,-0.1181,0.3272,9.653,11.4,19.1323,72.8292
ACC206,TRIP002,2024-02-06 07:32:00,1800,0.1526,0.3316,9.7739,10.0,19.1325,72.8294
ACC207,TRIP002,2024-02-06 07:32:15,1815,0.2888,-0.0244,9.8099,10.1,19.1325,72.8291
ACC208,TRIP002,2024-02-06 07:32:30,1830,0.0375,-0.223,9.6365,12.6,19.1324,72.829
ACC209,TRIP002,2024-02-06 07:32:45,1845,0.1109,-0.1941,9.8054,14.6,19.1324,72.8292
ACC210,TRIP002,2024-02-06 07:33:00,1860,-0.1991,0.236,9.6423,17.4,19.1326,72.8292
ACC211,TRIP002,2024-02-06 07:33:15,1875,0.1586,-0.0701,9.8106,19.5,19.1333,72.8294
ACC212,TRIP002,2024-02-06 07:33:30,1890,0.0034,-0.1014,9.7545,17.9,19.1336,72.8287
ACC213,TRIP002,2024-02-06 07:33:45,1905,0.1879,0.1392,9.8015,16.5,19.1342,72.8281
ACC214,TRIP002,2024-02-06 07:34:00,1920,-0.2107,-0.2465,9.7316,19.0,19.1336,72.8275
ACC215,TRIP002,2024-02-06 07:34:15,1935,-0.2439,-0.0966,9.7382,19.9,19.1341,72.8279
ACC216,TRIP002,2024-02-06 07:34:30,1950,-0.0001,-0.0529,9.7961,17.2,19.1335,72.8275
ACC217,TRIP002,2024-02-06 07:34:45,1965,-0.2554,0.3405,9.8248,19.5,19.1335,72.8268
ACC218,TRIP002,2024-02-06 07:35:00,1980,-0.1113,0.3692,9.7468,19.9,19.1328,72.8274
ACC219,TRIP002,2024-02-06 07:35:15,1995,0.1136,-0.3373,9.7864,19.2,19.1331,72.8278
ACC220,TRIP002,2024-02-06 07:35:30,2010,-0.2544,0.0841,9.7535,18.3,19.1325,72.8274
ACC221,TRIP002,2024-02-06 07:35:45,2025,0.0515,-0.0959,9.793,18.6,19.1323,72.827
ACC222,TRIP002,2024-02-06 07:36:00,2040,-0.1392,-0.096,9.796,17.4,19.132,72.8264
ACC223,TRIP002,2024-02-06 07:36:15,2055,0.0342,0.01,9.6258,15.0,19.1315,72.8263
ACC224,TRIP002,2024-02-06 07:36:30,2070,0.1707,0.291,9.6031,12.5,19.1316,72.8264
ACC225,TRIP002,2024-02-06 07:36:45,2085,-0.139,-0.2833,9.6418,13.6,19.1313,72.8262
ACC226,TRIP002,2024-02-06 07:37:00,2100,-0.0833,0.3554,9.7802,12.3,19.1311,72.8265
ACC227,TRIP002,2024-02-06 07:37:15,2115,0.0906,0.0755,9.6751,11.9,19.131,72.8268
ACC228,TRIP002,2024-02-06 07:37:30,2130,-0.1934,-0.0814,9.6798,12.5,19.1312,72.8268
ACC229,TRIP002,2024-02-06 07:37:45,2145,0.2984,-0.2561,9.7919,11.7,19.1316,72.8265
ACC230,TRIP002,2024-02-06 07:38:00,2160,-0.1742,0.2381,9.8078,10.0,19.1318,72.8268
ACC231,TRIP002,2024-02-06 07:38:15,2175,-0.0306,0.0783,9.7456,10.0,19.1317,72.8267
ACC232,TRIP002,2024-02-06 07:38:30,2190,-0.049,-0.3706,9.8421,10.2,19.132,72.827
ACC233,TRIP002,2024-02-06 07:38:45,2205,0.087,0.1174,9.8417,10.0,19.1321,72.827
ACC234,TRIP002,2024-02-06 07:39:00,2220,-0.2408,-0.2224,9.7867,10.0,19.1323,72.8267
ACC235,TRIP002,2024-02-06 07:39:15,2235,-0.2485,0.2651,9.7825,10.0,19.1321,72.827
ACC236,TRIP002,2024-02-06 07:39:30,2250,0.0127,-0.1214,9.6244,10.0,19.132,72.8272
ACC237,TRIP002,2024-02-06 07:39:45,2265,0.1443,0.0128,9.738,10.0,19.1322,72.8275
ACC238,TRIP002,2024-02-06 07:40:00,2280,-0.1893,0.1124,9.708,12.8,19.1319,72.8274
ACC239,TRIP002,2024-02-06 07:40:15,2295,-0.2389,0.2976,9.6467,14.3,19.1322,72.8269
ACC240,TRIP002,2024-02-06 07:40:30,2310,0.2176,0.0222,9.7598,13.3,19.1322,72.8267
ACC241,TRIP002,2024-02-06 07:40:45,2325,-0.2491,-0.2928,9.6295,14.5,19.132,72.8268
ACC242,TRIP002,2024-02-06 07:41:00,2340,0.0065,-0.0654,9.6345,13.3,19.1317,72.827
ACC243,TRIP002,2024-02-06 07:41:15,2355,-0.0294,-0.3571,9.6898,13.2,19.1313,72.8268
ACC244,TRIP002,2024-02-06 07:41:30,2370,0.2783,0.0044,9.7237,10.3,19.131,72.827
ACC245,TRIP002,2024-02-06 07:41:45,2385,-0.1991,-0.0341,9.7856,10.0,19.1308,72.827
ACC246,TRIP002,2024-02-06 07:42:00,2400,-0.2315,0.2201,9.8058,11.6,19.1308,72.8267
ACC247,TRIP002,2024-02-06 07:42:15,2415,-0.0909,0.2534,9.7098,10.4,19.1312,72.8267
ACC248,TRIP002,2024-02-06 07:42:30,2430,0.1864,0.0703,9.6877,13.4,19.1315,72.8264
